epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1761.39,0.45976,0.41159,0.33454,0.88336,0.91288,0.85812,0.88949,0.70366,0.9341,0.80199,0.86138,0.53221,0.48776,0.36646,0.37612,0.93633,0.0087625,0.0087625,0.0087625
77,1784.37,0.45891,0.40636,0.33538,0.88564,0.94231,0.82372,0.89491,0.71629,0.91919,0.80206,0.85806,0.54353,0.48982,0.36872,0.36831,0.9409,0.008746,0.008746,0.008746
78,1807.08,0.46124,0.41762,0.34219,0.8852,0.94407,0.83349,0.89627,0.71699,0.93071,0.81949,0.86133,0.53911,0.48532,0.36163,0.37132,0.93558,0.0087295,0.0087295,0.0087295
79,1829.95,0.45611,0.40499,0.33635,0.88272,0.94576,0.83295,0.88239,0.70496,0.93732,0.82372,0.86946,0.54341,0.49418,0.36355,0.36755,0.94456,0.008713,0.008713,0.008713
80,1852.81,0.46249,0.40875,0.33531,0.88561,0.93936,0.8483,0.89601,0.71756,0.91423,0.8188,0.8665,0.53109,0.49736,0.35546,0.38206,0.94633,0.0086965,0.0086965,0.0086965
81,1875.48,0.46107,0.41125,0.33461,0.88353,0.89258,0.86523,0.89191,0.71238,0.90371,0.78979,0.84584,0.5385,0.47854,0.36571,0.37849,0.93926,0.00868,0.00868,0.00868
82,1898.39,0.46435,0.41051,0.33906,0.88602,0.92894,0.84745,0.89609,0.71052,0.9008,0.8141,0.87048,0.53494,0.50102,0.35756,0.37106,0.96071,0.0086635,0.0086635,0.0086635
83,1921.31,0.45675,0.41679,0.33332,0.88419,0.92517,0.83395,0.89747,0.71195,0.90856,0.81523,0.8651,0.54042,0.49343,0.36394,0.37672,0.95794,0.008647,0.008647,0.008647
84,1943.86,0.45248,0.3997,0.3232,0.88132,0.92805,0.83966,0.89198,0.71102,0.90515,0.79552,0.85006,0.52285,0.49368,0.36032,0.36526,0.95681,0.0086305,0.0086305,0.0086305
85,1966.68,0.45514,0.41165,0.32794,0.88321,0.91402,0.86574,0.89419,0.71105,0.9225,0.78315,0.84914,0.5364,0.49143,0.36242,0.36401,0.95947,0.008614,0.008614,0.008614
86,1988.82,0.45633,0.40144,0.33398,0.88361,0.92555,0.82869,0.88875,0.70743,0.89289,0.79899,0.85081,0.53687,0.48846,0.36415,0.37811,0.94406,0.0085975,0.0085975,0.0085975
87,2011.2,0.45102,0.40944,0.32826,0.87746,0.91086,0.8171,0.87936,0.70467,0.90569,0.79475,0.85093,0.53614,0.49049,0.36482,0.36635,0.94685,0.008581,0.008581,0.008581
88,2033.97,0.44748,0.40627,0.32306,0.87975,0.88462,0.85696,0.89724,0.69743,0.85823,0.7965,0.83069,0.52967,0.4752,0.36327,0.36948,0.93943,0.0085645,0.0085645,0.0085645
89,2056.94,0.44705,0.40237,0.3256,0.88044,0.93875,0.8278,0.89779,0.7001,0.89673,0.76408,0.83601,0.51966,0.49243,0.36343,0.37504,0.94668,0.008548,0.008548,0.008548
90,2079.73,0.43932,0.39948,0.32548,0.87534,0.94151,0.83196,0.89228,0.70682,0.93449,0.82618,0.87921,0.54226,0.48304,0.36388,0.36465,0.94582,0.0085315,0.0085315,0.0085315
91,2102.17,0.44477,0.3995,0.32608,0.87656,0.94225,0.83129,0.89275,0.71434,0.92969,0.80517,0.86611,0.53907,0.49434,0.36478,0.36648,0.95338,0.008515,0.008515,0.008515
92,2124.45,0.4426,0.40693,0.31946,0.87842,0.92975,0.82198,0.89257,0.70949,0.91565,0.79508,0.86132,0.52744,0.48705,0.36825,0.37137,0.94234,0.0084985,0.0084985,0.0084985
93,2146.77,0.44066,0.39677,0.31848,0.8792,0.93887,0.81618,0.89096,0.71867,0.92352,0.80013,0.86233,0.53756,0.48893,0.36395,0.37537,0.94859,0.008482,0.008482,0.008482
94,2169.61,0.4417,0.3951,0.31427,0.87713,0.93417,0.82303,0.8792,0.70297,0.94923,0.7807,0.8506,0.53239,0.48005,0.35871,0.37069,0.95579,0.0084655,0.0084655,0.0084655
95,2192.23,0.44267,0.39967,0.322,0.8794,0.94498,0.82912,0.89499,0.71187,0.8974,0.79391,0.84785,0.54027,0.47822,0.35994,0.38033,0.94015,0.008449,0.008449,0.008449
96,2214.79,0.44089,0.4016,0.31834,0.87507,0.93766,0.82811,0.89029,0.71853,0.89014,0.78286,0.83199,0.5238,0.48088,0.36275,0.37308,0.94032,0.0084325,0.0084325,0.0084325
97,2237.31,0.43745,0.4037,0.31723,0.87573,0.92535,0.85051,0.89702,0.71698,0.89887,0.79653,0.85152,0.52574,0.49037,0.36491,0.37012,0.94767,0.008416,0.008416,0.008416
98,2259.72,0.44353,0.40045,0.32031,0.87765,0.94407,0.83791,0.89904,0.70802,0.92398,0.80234,0.86749,0.54005,0.48874,0.35722,0.36883,0.95119,0.0083995,0.0083995,0.0083995
99,2282.24,0.43714,0.39935,0.31663,0.8747,0.91292,0.83445,0.88809,0.71791,0.88312,0.81345,0.86974,0.54548,0.49213,0.35926,0.37633,0.95759,0.008383,0.008383,0.008383
100,2304.77,0.43779,0.39768,0.31118,0.87618,0.92752,0.83002,0.88132,0.71024,0.89265,0.78804,0.84603,0.53184,0.49628,0.36754,0.37496,0.95578,0.0083665,0.0083665,0.0083665
101,2327.29,0.43826,0.40029,0.31874,0.87557,0.89777,0.83056,0.88135,0.70962,0.87338,0.81277,0.85101,0.53187,0.48362,0.36244,0.37502,0.94816,0.00835,0.00835,0.00835
102,2350.29,0.4416,0.40654,0.3186,0.8775,0.89453,0.84038,0.88463,0.70639,0.90451,0.78363,0.83973,0.52917,0.48595,0.35812,0.36656,0.9427,0.0083335,0.0083335,0.0083335
103,2373.07,0.43477,0.40316,0.31051,0.8692,0.93783,0.80955,0.88785,0.71061,0.9298,0.79019,0.85545,0.53571,0.48907,0.36339,0.36035,0.95226,0.008317,0.008317,0.008317
104,2396.19,0.43314,0.39227,0.30879,0.87166,0.91222,0.82747,0.8961,0.70487,0.92945,0.79471,0.85539,0.53825,0.50097,0.36166,0.37194,0.9624,0.0083005,0.0083005,0.0083005
105,2418.85,0.42831,0.39768,0.30792,0.86916,0.90514,0.84932,0.88957,0.71214,0.91384,0.79775,0.84579,0.53235,0.49422,0.36038,0.35727,0.96042,0.008284,0.008284,0.008284
106,2441.12,0.43045,0.39,0.30558,0.87037,0.90363,0.85649,0.89447,0.72299,0.93265,0.8023,0.86591,0.5384,0.48762,0.35517,0.36254,0.94501,0.0082675,0.0082675,0.0082675
107,2463.89,0.4322,0.40166,0.31061,0.87208,0.93559,0.83232,0.89568,0.72622,0.92898,0.8264,0.87423,0.54013,0.48992,0.3617,0.37121,0.94545,0.008251,0.008251,0.008251
108,2486.63,0.43413,0.39192,0.30874,0.87165,0.94057,0.84082,0.89363,0.72116,0.93404,0.78811,0.85732,0.54212,0.47709,0.35711,0.36427,0.94467,0.0082345,0.0082345,0.0082345
109,2509.05,0.42779,0.39622,0.30591,0.86969,0.92388,0.84372,0.89599,0.719,0.91318,0.83115,0.87374,0.53483,0.48749,0.35976,0.35828,0.95587,0.008218,0.008218,0.008218
110,2531.35,0.42523,0.3901,0.30697,0.86792,0.9156,0.85865,0.90077,0.7203,0.89023,0.83483,0.87338,0.54861,0.4903,0.36251,0.36101,0.95381,0.0082015,0.0082015,0.0082015
111,2553.49,0.43089,0.39142,0.3081,0.87022,0.89539,0.85777,0.89694,0.71823,0.92581,0.81591,0.87012,0.53584,0.49116,0.36324,0.36778,0.94883,0.008185,0.008185,0.008185
112,2575.8,0.42768,0.3926,0.30648,0.86686,0.89761,0.84487,0.89876,0.71878,0.9227,0.77392,0.84002,0.5418,0.49268,0.36127,0.36589,0.9457,0.0081685,0.0081685,0.0081685
113,2597.54,0.42744,0.39727,0.30361,0.86523,0.94289,0.83889,0.89539,0.71744,0.91831,0.80423,0.85109,0.53642,0.49061,0.36021,0.36707,0.95306,0.008152,0.008152,0.008152
114,2619.73,0.42303,0.39269,0.30542,0.8669,0.92224,0.83823,0.88664,0.72014,0.86724,0.80448,0.84549,0.54135,0.48335,0.36365,0.36715,0.94695,0.0081355,0.0081355,0.0081355
115,2642.15,0.4205,0.39377,0.29853,0.8646,0.93149,0.829,0.8846,0.71146,0.91192,0.7725,0.83441,0.53214,0.49479,0.3587,0.36196,0.95409,0.008119,0.008119,0.008119
116,2664.07,0.4236,0.38981,0.30157,0.8676,0.91676,0.85382,0.90557,0.72949,0.916,0.80242,0.86299,0.54734,0.48909,0.36325,0.36582,0.9542,0.0081025,0.0081025,0.0081025
117,2686.3,0.42431,0.39528,0.29756,0.86947,0.93063,0.84894,0.89249,0.72118,0.90935,0.79245,0.8599,0.54354,0.494,0.36847,0.36434,0.96553,0.008086,0.008086,0.008086
118,2708.2,0.41734,0.3938,0.29687,0.85973,0.89568,0.84841,0.88853,0.70597,0.92674,0.77891,0.85789,0.53834,0.49627,0.35334,0.35817,0.96247,0.0080695,0.0080695,0.0080695
119,2730.49,0.41767,0.38791,0.29736,0.86327,0.92467,0.84349,0.89104,0.71706,0.92736,0.79907,0.86433,0.54506,0.48975,0.36681,0.35456,0.95926,0.008053,0.008053,0.008053
