epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,2125.47,0.90453,0.5153,1.18847,0.97296,0.94816,0.98025,0.75657,0.90406,0.37036,1.24151,0.00362547,0.00362547,0.00362547
108,2145.5,0.9125,0.51087,1.19549,0.98032,0.94538,0.97933,0.75562,0.90714,0.37359,1.25169,0.0036022,0.0036022,0.0036022
109,2165.19,0.91108,0.50961,1.19572,0.98043,0.94288,0.97924,0.75432,0.90494,0.37083,1.24881,0.0035788,0.0035788,0.0035788
110,2185.22,0.89022,0.49211,1.18842,0.97072,0.9507,0.98062,0.75572,0.90517,0.36949,1.25059,0.00355529,0.00355529,0.00355529
111,2205.07,0.88779,0.50537,1.17859,0.97483,0.95191,0.98044,0.75408,0.9122,0.36447,1.2432,0.00353167,0.00353167,0.00353167
112,2225.14,0.88862,0.5005,1.17414,0.97423,0.94543,0.97983,0.7511,0.90635,0.36763,1.24628,0.00350794,0.00350794,0.00350794
113,2245.13,0.8974,0.49708,1.17572,0.96707,0.95012,0.98085,0.75462,0.90472,0.36538,1.23361,0.0034841,0.0034841,0.0034841
114,2264.72,0.89461,0.49823,1.17319,0.97582,0.94659,0.97933,0.756,0.89801,0.35935,1.22989,0.00346016,0.00346016,0.00346016
115,2284.25,0.87891,0.50128,1.17307,0.96317,0.95229,0.97776,0.75126,0.90309,0.36157,1.23039,0.00343611,0.00343611,0.00343611
116,2303.93,0.88289,0.49391,1.17321,0.96828,0.94667,0.97814,0.75298,0.90103,0.36694,1.24009,0.00341196,0.00341196,0.00341196
117,2323.82,0.8881,0.49006,1.16429,0.96924,0.95465,0.97952,0.75755,0.90568,0.36282,1.22514,0.00338772,0.00338772,0.00338772
118,2343.7,0.88464,0.49468,1.17323,0.96891,0.95109,0.98051,0.75557,0.9032,0.36229,1.23954,0.00336338,0.00336338,0.00336338
119,2363.53,0.88288,0.48987,1.17718,0.97834,0.93867,0.98032,0.75664,0.90012,0.36123,1.2438,0.00333894,0.00333894,0.00333894
120,2383.39,0.88797,0.48487,1.169,0.98116,0.9328,0.97895,0.75596,0.90065,0.36164,1.23873,0.00331442,0.00331442,0.00331442
121,2403.22,0.87349,0.48786,1.15781,0.97624,0.9467,0.98227,0.75458,0.8998,0.35682,1.2271,0.00328982,0.00328982,0.00328982
122,2423.11,0.87221,0.48879,1.15844,0.97931,0.94195,0.98086,0.76086,0.89188,0.354,1.2142,0.00326513,0.00326513,0.00326513
123,2443.26,0.86919,0.48136,1.15865,0.97452,0.94769,0.98031,0.7579,0.89446,0.35545,1.21319,0.00324035,0.00324035,0.00324035
124,2463.32,0.86856,0.47217,1.15915,0.97685,0.95306,0.98073,0.75951,0.89376,0.35395,1.21304,0.0032155,0.0032155,0.0032155
125,2483.23,0.86778,0.47489,1.15461,0.9811,0.94892,0.9817,0.76032,0.89372,0.35478,1.21452,0.00319058,0.00319058,0.00319058
126,2503.17,0.8561,0.48028,1.14996,0.977,0.94808,0.9819,0.75887,0.88828,0.35028,1.2073,0.00316558,0.00316558,0.00316558
127,2523.15,0.85635,0.4809,1.15028,0.97652,0.94977,0.98162,0.75998,0.88953,0.3512,1.20697,0.00314051,0.00314051,0.00314051
128,2542.66,0.86389,0.47959,1.15648,0.97792,0.94549,0.98288,0.76086,0.88571,0.35304,1.20262,0.00311537,0.00311537,0.00311537
129,2562.28,0.84898,0.47378,1.14086,0.97155,0.95159,0.98195,0.76104,0.88587,0.35328,1.19716,0.00309017,0.00309017,0.00309017
130,2581.93,0.84884,0.46286,1.14515,0.97656,0.94986,0.9814,0.76292,0.88656,0.34824,1.21313,0.0030649,0.0030649,0.0030649
131,2601.52,0.85283,0.46938,1.15029,0.98065,0.94491,0.97959,0.76292,0.88662,0.34907,1.2175,0.00303958,0.00303958,0.00303958
132,2621.15,0.85693,0.47678,1.14885,0.97688,0.94714,0.98106,0.76106,0.89291,0.35008,1.21881,0.0030142,0.0030142,0.0030142
133,2640.79,0.8374,0.45873,1.14334,0.98201,0.94174,0.98113,0.75937,0.88689,0.34942,1.21235,0.00298877,0.00298877,0.00298877
134,2660.41,0.84923,0.47001,1.13653,0.9762,0.95324,0.98286,0.76211,0.88184,0.34521,1.19781,0.00296328,0.00296328,0.00296328
135,2679.39,0.8461,0.47033,1.13949,0.97752,0.95138,0.98248,0.76326,0.88141,0.34498,1.19898,0.00293775,0.00293775,0.00293775
136,2699.04,0.84052,0.46203,1.1377,0.9786,0.94984,0.98138,0.76325,0.87886,0.34617,1.2046,0.00291218,0.00291218,0.00291218
