epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,3344.7,0.69957,0.40437,1.09092,0.97122,0.95268,0.97608,0.80459,0.73535,0.33372,1.06922,0.00804475,0.00804475,0.00804475
81,3386.54,0.70922,0.40736,1.09182,0.97135,0.94814,0.9754,0.8074,0.74035,0.3301,1.07234,0.00802,0.00802,0.00802
82,3428.17,0.70379,0.40812,1.08833,0.97041,0.94743,0.9749,0.80739,0.73442,0.3309,1.07292,0.00799525,0.00799525,0.00799525
83,3468.64,0.6978,0.40181,1.08213,0.97213,0.94704,0.97321,0.80424,0.73875,0.33016,1.07379,0.0079705,0.0079705,0.0079705
84,3508.13,0.69232,0.40338,1.07611,0.96451,0.95171,0.97553,0.80935,0.73724,0.32662,1.06817,0.00794575,0.00794575,0.00794575
85,3549.46,0.69305,0.4038,1.07433,0.97239,0.94842,0.97592,0.80838,0.72822,0.33038,1.06365,0.007921,0.007921,0.007921
86,3592.68,0.68419,0.39205,1.07132,0.96939,0.95702,0.97616,0.80969,0.73126,0.32759,1.07058,0.00789625,0.00789625,0.00789625
87,3635.44,0.69478,0.40269,1.07568,0.9689,0.9509,0.97544,0.81012,0.72982,0.33096,1.0689,0.0078715,0.0078715,0.0078715
88,3676.18,0.68569,0.39991,1.0847,0.97279,0.95518,0.97802,0.8165,0.72057,0.31954,1.07058,0.00784675,0.00784675,0.00784675
89,3717.44,0.67599,0.39158,1.07978,0.97545,0.95031,0.97672,0.81869,0.71115,0.31701,1.05831,0.007822,0.007822,0.007822
90,3760.15,0.66666,0.38591,1.07768,0.96718,0.95538,0.97574,0.81635,0.71177,0.3182,1.06144,0.00779725,0.00779725,0.00779725
91,3801.59,0.66871,0.38908,1.07503,0.97386,0.95319,0.97669,0.81897,0.70771,0.31579,1.0601,0.0077725,0.0077725,0.0077725
92,3844.15,0.68147,0.39198,1.08039,0.96188,0.95578,0.97339,0.81421,0.70684,0.31495,1.05343,0.00774775,0.00774775,0.00774775
93,3887.5,0.67132,0.38462,1.07222,0.96826,0.95644,0.97542,0.81918,0.71169,0.31585,1.058,0.007723,0.007723,0.007723
94,3927.31,0.66864,0.3866,1.06675,0.97213,0.95279,0.97418,0.81225,0.71288,0.31767,1.06265,0.00769825,0.00769825,0.00769825
95,3969.98,0.66534,0.37983,1.06844,0.97284,0.95268,0.97665,0.81477,0.71939,0.31931,1.0719,0.0076735,0.0076735,0.0076735
96,4012.09,0.66792,0.37848,1.06755,0.97384,0.95323,0.97563,0.81405,0.7118,0.3159,1.064,0.00764875,0.00764875,0.00764875
97,4053.17,0.66138,0.3819,1.07088,0.97847,0.94841,0.97452,0.81667,0.71299,0.31601,1.06514,0.007624,0.007624,0.007624
98,4097.07,0.66309,0.3852,1.07548,0.97541,0.95061,0.97547,0.81845,0.71355,0.31398,1.06152,0.00759925,0.00759925,0.00759925
99,4139.31,0.65459,0.37909,1.06158,0.97782,0.94814,0.9756,0.81784,0.71025,0.31241,1.05985,0.0075745,0.0075745,0.0075745
100,4181.18,0.64948,0.37701,1.06037,0.97601,0.95219,0.97612,0.8172,0.70768,0.31045,1.05742,0.00754975,0.00754975,0.00754975
101,4221.86,0.65126,0.37723,1.06523,0.97765,0.94982,0.97654,0.82224,0.70022,0.31191,1.05694,0.007525,0.007525,0.007525
102,4263.89,0.66343,0.38091,1.07098,0.97755,0.95349,0.97566,0.82306,0.69941,0.31643,1.054,0.00750025,0.00750025,0.00750025
103,4305.22,0.6494,0.37615,1.05938,0.97967,0.95072,0.97635,0.82528,0.69418,0.30639,1.0501,0.0074755,0.0074755,0.0074755
104,4345.11,0.64686,0.37283,1.05094,0.97589,0.9504,0.97751,0.82262,0.69817,0.30386,1.04716,0.00745075,0.00745075,0.00745075
105,4387.37,0.64913,0.37556,1.05826,0.97308,0.94548,0.97499,0.82039,0.70347,0.30775,1.04867,0.007426,0.007426,0.007426
106,4429.36,0.64761,0.37461,1.05572,0.974,0.95217,0.97774,0.82219,0.70128,0.30525,1.04682,0.00740125,0.00740125,0.00740125
107,4471.49,0.64568,0.37473,1.05692,0.97433,0.95229,0.97669,0.82282,0.69826,0.30191,1.04428,0.0073765,0.0073765,0.0073765
108,4513.53,0.6491,0.37926,1.06012,0.97304,0.9522,0.97785,0.82594,0.69293,0.30597,1.04248,0.00735175,0.00735175,0.00735175
109,4555.16,0.63329,0.36353,1.04641,0.97539,0.94814,0.97622,0.82606,0.6919,0.3066,1.04221,0.007327,0.007327,0.007327
110,4595.17,0.62901,0.35919,1.04899,0.97207,0.9547,0.97753,0.82687,0.68494,0.30204,1.03669,0.00730225,0.00730225,0.00730225
111,4635.28,0.62924,0.36371,1.0434,0.97451,0.95508,0.97786,0.82721,0.68666,0.3008,1.0341,0.0072775,0.0072775,0.0072775
112,4677.79,0.63268,0.35906,1.04769,0.97354,0.9519,0.97688,0.82624,0.6881,0.29926,1.03809,0.00725275,0.00725275,0.00725275
113,4716.51,0.63719,0.36236,1.04773,0.97463,0.95524,0.97736,0.8291,0.68612,0.3024,1.03737,0.007228,0.007228,0.007228
114,4758.57,0.6292,0.36484,1.04484,0.97418,0.95728,0.97622,0.82831,0.68171,0.29775,1.03703,0.00720325,0.00720325,0.00720325
115,4800.83,0.62964,0.35834,1.04904,0.97617,0.95801,0.97687,0.83014,0.68275,0.29925,1.03732,0.0071785,0.0071785,0.0071785
116,4839.97,0.62416,0.36477,1.04269,0.97968,0.95682,0.97595,0.83172,0.68286,0.3,1.04022,0.00715375,0.00715375,0.00715375
117,4877.98,0.62128,0.36152,1.04607,0.98328,0.9575,0.97603,0.83152,0.67885,0.29732,1.03532,0.007129,0.007129,0.007129
118,4918.1,0.61686,0.35363,1.03944,0.98148,0.95497,0.97613,0.83201,0.67756,0.29654,1.0354,0.00710425,0.00710425,0.00710425
119,4956.17,0.62692,0.35828,1.04657,0.97366,0.96112,0.97785,0.83228,0.67412,0.29505,1.03363,0.0070795,0.0070795,0.0070795
120,4995.36,0.61671,0.36129,1.04163,0.96943,0.95829,0.97603,0.83226,0.67697,0.2955,1.03471,0.00705475,0.00705475,0.00705475
121,5036.41,0.6194,0.36054,1.04403,0.97783,0.9512,0.97608,0.83246,0.67801,0.2944,1.03797,0.00703,0.00703,0.00703
122,5078.04,0.61309,0.35566,1.04183,0.97194,0.95547,0.97464,0.83138,0.68022,0.29448,1.03782,0.00700525,0.00700525,0.00700525
123,5115.99,0.60562,0.34981,1.03629,0.97879,0.95139,0.97384,0.83155,0.67971,0.2961,1.03869,0.0069805,0.0069805,0.0069805
124,5153.86,0.61164,0.35227,1.04146,0.97723,0.95497,0.97523,0.83083,0.67617,0.29328,1.03729,0.00695575,0.00695575,0.00695575
